Country,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688,1689,1690,1691,1692,1693,1694,1695,1696,1697,1698,1699,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.911392,7.038123,1.369863,2.432432,3.430079,5.357143,5.569007,5.045872,2.838428,0.424628,5.708245,4.2,5.182342,5.839416,4.310345,2.975207,2.889246,2.028081,2.140673,1.347305,2.806499,2.873563,3.072626,5.01355,6.193548,9.356015,11.111111,12.3,1.561813,0.877983,0.877347,0.662269,1.101118,2.346269,4.069966,1.616959,1.967357,3.070301,-1.932473,-2.079113,0.179978
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.754385965,22.4137931,14.78873239,13.49693252,11.35135135,33.00970874,25.18248175,36.44314869,38.46153846,4.012345679,3.857566766,12.42857143,13.59593393,24.60850112,31.68761221,113.4969325,26.66028097,13.73834132,26.06382979,26.0021097,22.15710897,28.60079954,31.85895728,29.22672774,16.2262184,7.570185667,13.58292337,34.72691235,58.4525269,60.30261348,24.21915222,182.7893483,444.0132029,176.0316895,175.5086459,159.5110265,100.7642269,104.4766176,164.7794069,343.7998622,626.7333005,672.1812969,90.09038645,131.3346738,342.953833,3079.454125,2313.96279,171.6716994,24.89995011,10.61151294,4.177337611,3.376098546,0.155677818,0.52858774,0.924665345,-1.166676952,-0.939107403,-1.065503428,25.86854622,13.44314342,4.415986011,9.6423982,10.89644031,8.833569708,8.584375533,6.270673865,10.46130929,9.775386647,10.0431233,10.61903682,21.3588968,16.07372719,32.31886836,24.7939455,34.15029965,52.80423026,40.48238577,47.1012562
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.134293,13.066939,27.879164,16.941241,-5.408828,3.713597,0.779364,3.488814,2.212255,2.280368,1.063722,1.955872,3.537402,4.37341,2.729055,3.874798,4.926258,2.217462,3.974683,2.764817,3.080384,4.37282,4.704213,6.355106,7.53113,9.52173,8.445221,6.364191,5.466228,3.579065,3.707072,6.325319,6.806904,5.440457,3.335396,5.664835,3.189713,1.700996,1.444115,1.914503,2.563897,3.262298,3.341915,4.022103,3.625847,2.959065,2.243488,1.508535,1.308362,0.921285,0.562408,2.376644,2.682779,1.788867,1.36432,2.075967,2.290759,1.452917,2.164316,3.214587,0.510569,1.818551,3.252844,2.493235,2.008297,1.589796,0.900737,0.91073,2.064159,2.004903,1.527766,1.4456,2.766667
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.108434,-0.884956,0,1.785714,-0.877193,2.654867,0,-6.034483,-9.174312,-5.050505,-2.12766,0,2.173913,2.12766,2.083333,4.081633,1.960784,3.846154,4.62963,9.734513,3.225806,0,0,0.78125,3.875969,8.955224,10.273973,8.695652,19.428571,17.22488,4.489796,1.5625,1.538462,5.681818,2.867384,0.696864,2.076125,3.728814,2.287582,-0.319489,0.641026,2.866242,3.405573,3.293413,3.478261,2.521008,3.278689,3.439153,6.138107,6.024096,9.090909,15.416667,15.162455,13.322884,12.30982,8.004926,9.122007,10.135841,9.487666,11.35182,10.038911,3.960396,6.734694,9.050351,8.533022,7.21594,7.533903,7.333022,3.176675,1.012231,1.753653,1.969635,4.627767,2.615385,0.224888,0.860135,1.483129,4.457435,4.407135,2.981575,2.732596,2.343255,2.691832,3.555288,2.327611,4.350299,1.771117,2.91834,3.30385,1.76278,2.449889,2.487923,1.508367,1.276991,1.948647,1.911401,1.610768,0.846906,2.86391
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.631579,20.512821,4.255319,0,-6.122449,-4.347826,-4.545455,2.380952,9.302326,2.12766,-8.333333,-4.545455,4.761905,6.818182,0,-2.12766,-2.173913,-2.222222,2.272727,4.444444,6.382979,-4,-2.083333,4.255319,0,-4.081633,-4.255319,-4.444444,0,-2.325581,2.380952,-6.976744,-5,-5.263158,5.555556,-2.631579,2.702703,2.631579,0,-2.564103,-2.631579,-2.702703,-2.777778,-5.714286,3.030303,0,0,11.764706,5.263158,-5,0,0.526316,2.941176,8.571429,2.631579,2.564103,-2.5,2.564103,5,9.52381,-6.521739,0,NaN,NaN,NaN,NaN,NaN,NaN,0.274065,-6.516531,14.710405,16.934763,3.439052,19.394163,26.980198,4.385965,6.699346,-0.087508,-8.736589,-9.764875,-1.914384,-5.638384,-1.75237,4.678363,7.26257,3.541667,1.081489,11.072406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.749693,-3.28538,-0.850976,9.364315,0.886876,-0.297243,1.776086,-0.517295,2.380654,3.157508,1.293155,1.22394,0.300839,0.98633,1.405072,2.145995,4.168734,4.054841,4.186804,2.841797,2.772766,3.746651,3.923053,4.344845,5.449244,6.955099,12.670672,12.771045,9.169843,7.097672,4.47293,4.471449,6.653642,7.62396,8.727209,7.666841,6.342124,4.8654,1.299285,1.556305,1.160995,3.104615,3.452466,3.203596,2.431782,2.752059,2.376336,1.473802,2.063743,1.62816,0.94925,1.120848,2.544518,2.469258,1.645214,1.588964,2.097283,2.781433,1.791208,1.823056,4.489444,-0.053146,2.189299,3.532082,2.839663,1.113096,0.340003,0.561429,1.973853,2.125971,2.053165,1.43682,0.740792,2.440249
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.963964,91.323401,73.018781,95.92269,62.162162,121.608333,1058.368744,18.672921,2.572723,10.315731,7.36126,5.809927,2.348565,6.147336,5.039128,7.261436,8.402588,12.348576,2.753358,2.438811,4.219814,2.954668,0.88997,-1.417956,-0.104845,-0.798806,2.061893,2.814486,3.103834,1.67239,3.297457
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,200,161.9047619,229.0909091,630.3867403,1430.484115,2947.462067,432.7838623,951.9632536,1927.380828,2075.888391,66.00703364,15.7576657,6.926712557,3.195076235,4.858447483,7.044141009,6.840359057,8.450164384,14.7149197,6.597185139,6.869537228,4.183568126,3.641272982,5.678593884,4.888034783,5.038726895,6.636449615,5.40348994,6.204293621,6.329185265,9.030150168,8.739550818,3.446307041,3.664676474,3.733040262,3.211590927,8.301573685
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.080444,8.967391,17.955112,13.107822,9.53271,16.296928,0.105649,-7.846411,0,-1.902174,1.200369,0.729927,-1.449275,0.735294,1.00365,-0.993677,-9.854015,-9.412955,-4.357542,1.168224,0.461894,2.068966,3.603604,0.543478,-0.756757,4.248366,5.956113,4.635108,2.167766,0.645756,0.641613,3.096539,9.010601,14.262561,3.475177,2.673064,10.547397,2.596618,-1.000589,0.653983,0.1772,1.356132,3.315881,2.364865,1.210121,1.358696,1.018767,1.061571,1.628151,1.912145,2.332657,3.815659,3.579952,4.0553,4.561559,3.34604,2.704918,4.988029,7.487647,10.997171,10.672189,7.541739,7.976445,8.973723,9.144677,10.129221,12.471612,10.768972,5.863588,4.304778,3.962031,4.194786,4.356109,4.028234,4.983622,4.780477,5.625864,1.490133,1.865079,0.165563,2.14876,1.570531,1.621216,0.995942,1.734843,2.71944,2.52512,2.258394,2.758563,1.857259,2.213552,2.002025,2.138384,2.370271,0.299467,1.776872,2.912135,1.515678,0.938292,1.906636,1.125241,1.42876,1.596884,2.268226,1.949269,0.717,3.395193
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.135796,-0.070979,3.021579,-0.325867,-3.606359,-1.146088,0.452412,0.113619,-1.721254,-5.218182,-7.791601,-5.067887,-1.496234,-1.023488,1.762401,4.843601,0.170961,0.766445,9.250739,15.348327,11.202718,5.088827,2.099503,0.682604,-0.550529,4.492053,2.947973,-0.818214,-1.526524,4.781108,2.523767,-0.701831,0.736382,0.925757,1.511583,1.964354,1.838055,-0.645939,1.438472,1.845478,4.315623,3.439717,3.08134,3.414475,4.772474,4.032297,2.41231,2.488968,3.615939,6.573139,6.660236,8.754917,9.766777,6.696503,1.715905,1.295845,1.037413,3.62664,4.030492,6.486628,5.657107,2.939063,2.931405,3.435465,0.750359,1.440248,1.872505,3.155258,5.403936,5.85962,4.03701,3.292622,0.852089,1.799838,0.811634,0.52018,0.017966,0.806463,1.558466,0.989057,0.642668,0.638362,0.8029,1.171972,1.059492,0.732334,2.426042,-0.480482,0.688256,0.231374,-0.692544,-0.217307,-0.013219,-1.143917,-0.434635,0.533796,0.936327,0.362903,-0.725891,0.581831
